"","trust_government","health_satisfaction","transport_satisfaction","admin_satisfaction","social_satisfaction","financial_satisfaction","food_markets_satisfaction","non_food_markets_satisfaction"
"401",1,NA,NA,NA,NA,2,1,1
"402",1,NA,-1,NA,NA,0,1,1
"403",1,0,NA,NA,NA,1,2,2
"404",1,NA,-1,NA,NA,1,2,2
"405",2,NA,NA,NA,NA,NA,2,2
"406",0,-1,NA,NA,NA,1,1,1
"407",1,NA,1,NA,NA,2,2,2
"408",1,NA,-1,NA,2,2,1,0
"409",-2,NA,NA,2,NA,2,2,NA
"410",2,-1,NA,NA,NA,-1,-1,-1
"411",-2,NA,2,NA,NA,1,0,0
"412",-1,NA,-1,NA,NA,1,2,2
"413",1,NA,2,NA,NA,-1,1,1
"414",0,-2,-2,NA,NA,1,1,1
"415",-2,NA,-1,NA,NA,-1,1,0
"416",-2,NA,0,NA,NA,1,1,1
"417",-2,-1,2,NA,NA,2,2,2
"418",1,NA,-1,NA,2,2,1,-1
"419",0,2,-1,NA,NA,1,2,1
"420",-1,1,NA,NA,NA,NA,1,1
"421",1,NA,2,NA,NA,2,1,-1
"422",0,NA,NA,-1,NA,1,2,1
"423",-1,NA,1,NA,NA,1,2,1
"424",-2,NA,NA,NA,NA,1,2,2
"425",-2,NA,1,NA,NA,1,1,1
"426",1,-2,2,NA,NA,2,2,1
"427",-1,-1,1,NA,NA,2,2,2
"428",0,-2,NA,NA,NA,2,2,2
"429",-1,NA,1,2,2,2,1,1
"430",0,2,1,NA,NA,-1,-1,-1
"431",-1,NA,-1,NA,NA,2,2,2
"432",-1,NA,-2,2,NA,-1,-2,-2
"433",2,NA,NA,NA,NA,1,1,1
"434",-1,NA,0,NA,2,2,1,1
"435",0,1,NA,-1,NA,-2,1,1
"436",2,NA,2,NA,NA,2,-1,-1
"437",0,NA,NA,NA,NA,2,2,2
"438",-2,2,1,NA,2,2,1,NA
"439",-2,NA,NA,NA,NA,2,-1,1
"440",1,-1,-2,NA,NA,NA,-1,-1
"441",1,NA,1,NA,NA,1,0,2
"442",-2,-2,NA,1,NA,1,2,2
"443",0,NA,NA,NA,NA,2,1,1
"444",2,NA,1,NA,NA,-2,2,2
"445",-2,NA,NA,NA,NA,-1,-1,0
"446",-2,-1,-1,-1,NA,-1,-1,-1
"447",1,NA,1,NA,NA,2,-1,-1
"448",-1,-2,1,NA,NA,1,1,NA
"449",-1,1,1,NA,NA,1,1,1
"450",-1,1,NA,NA,NA,2,2,2
"451",1,2,-2,NA,1,2,2,2
"452",1,NA,1,NA,NA,2,2,2
"453",2,NA,2,NA,NA,2,2,2
"454",-2,-1,-1,NA,-1,-1,-1,-1
"455",-2,NA,-2,NA,NA,2,-1,-1
"456",2,2,1,NA,NA,2,1,1
"457",2,2,1,-2,NA,2,1,1
"458",-2,-2,NA,0,NA,-1,-2,-2
"459",1,1,1,NA,1,2,1,1
"460",2,-1,NA,NA,-1,1,-1,-1
"461",0,-2,1,NA,NA,-2,-2,-2
"462",-2,NA,NA,NA,NA,2,2,2
"463",-2,-1,NA,NA,NA,1,1,-1
"464",1,1,2,NA,NA,2,2,2
"465",1,NA,NA,1,NA,-1,-1,-1
"466",-2,NA,1,NA,NA,2,-2,NA
"467",-2,NA,NA,NA,0,-1,-1,-1
"468",-2,-2,2,0,NA,0,-2,NA
"469",1,NA,-1,NA,NA,2,-1,-1
"470",2,NA,-1,NA,NA,-1,-1,-2
"471",1,-1,2,2,NA,2,2,2
"472",1,NA,2,NA,NA,2,2,2
"473",-2,NA,0,NA,NA,2,2,2
"474",1,NA,0,NA,NA,1,2,2
"475",1,NA,-1,NA,NA,0,1,1
"476",1,NA,2,NA,NA,1,2,2
"477",1,NA,NA,NA,NA,0,2,2
"478",1,NA,NA,NA,NA,2,2,2
"479",1,NA,NA,NA,NA,-1,-1,-1
"480",-2,-1,NA,NA,NA,1,-1,0
"481",0,NA,1,NA,NA,2,2,2
"482",0,-2,NA,NA,NA,-1,2,2
"483",-2,2,1,0,NA,2,1,1
"484",1,NA,NA,1,NA,2,1,1
"485",-2,NA,1,1,NA,2,2,2
"486",1,-1,NA,NA,NA,-1,1,1
"487",-2,-1,-1,NA,NA,2,-1,-1
"488",-2,-1,0,NA,NA,1,1,1
"489",-2,1,1,1,NA,2,2,2
"490",-1,NA,2,NA,NA,2,2,2
"491",2,NA,2,NA,NA,2,1,1
"492",-2,-2,-2,NA,NA,1,0,0
"493",0,-1,1,NA,NA,1,1,1
"494",-2,-1,-1,2,2,2,1,0
"495",1,1,2,NA,NA,2,2,2
"496",1,NA,-1,NA,NA,1,0,1
"497",1,1,1,NA,NA,2,2,2
"498",1,NA,NA,1,NA,2,1,1
"499",-1,NA,NA,2,NA,0,0,NA
"500",1,-1,NA,1,NA,2,1,2
"501",2,NA,1,2,NA,-1,2,2
"502",-1,-1,0,NA,NA,2,2,1
"503",-2,NA,-1,NA,2,1,1,0
"504",-2,NA,2,2,NA,2,-1,-1
"505",-1,-1,NA,NA,NA,2,1,1
"506",2,1,NA,NA,NA,1,-1,0
"507",-1,-2,-2,NA,NA,-1,2,2
"508",1,NA,1,NA,NA,1,1,1
"509",2,1,1,NA,NA,-1,1,1
"510",1,NA,NA,NA,NA,2,2,2
"511",1,-1,2,NA,2,2,2,-1
"512",1,NA,0,NA,NA,2,2,2
"513",0,1,-1,-1,NA,-1,1,1
"514",1,NA,NA,NA,1,1,-1,-1
"515",-2,-2,-2,NA,NA,2,2,2
"516",-2,-2,NA,NA,NA,NA,-1,-1
"517",-2,-2,NA,2,NA,2,0,0
"518",-2,-1,-1,NA,NA,2,-1,-1
"519",-2,1,NA,NA,NA,-1,-1,-1
"520",-2,NA,NA,-2,NA,2,-2,2
"521",-1,NA,NA,NA,NA,1,1,NA
"522",1,-1,2,-1,NA,2,-1,-1
"523",0,1,1,NA,NA,1,-1,-1
"524",-2,-1,-1,NA,1,-2,1,1
"525",0,NA,2,1,NA,2,2,2
"526",-2,1,1,1,NA,-1,0,0
"527",-2,NA,NA,2,NA,2,-1,-1
"528",2,NA,2,NA,NA,2,1,1
"529",0,-2,-2,NA,NA,1,1,1
"530",-2,-2,2,-2,NA,1,2,2
"531",1,-1,1,NA,NA,2,-1,-1
"532",-1,NA,1,NA,NA,1,2,2
"533",1,NA,NA,NA,NA,1,1,1
"534",-2,NA,-2,NA,NA,2,2,2
"535",-2,-2,1,2,NA,1,1,1
"536",-2,NA,NA,NA,NA,2,2,NA
"537",-2,-1,1,NA,NA,-1,1,-1
"538",-2,NA,-2,NA,NA,2,-1,-1
"539",0,NA,1,NA,NA,-1,1,1
"540",1,NA,-1,NA,NA,1,1,1
"541",-2,NA,2,NA,NA,2,1,1
"542",-2,-1,-1,NA,NA,2,0,-2
"543",-2,-2,NA,NA,NA,-2,2,2
"544",-2,NA,NA,NA,1,1,1,NA
"545",2,-2,-1,NA,NA,2,1,1
"546",-2,-1,-1,0,NA,-1,0,-1
